Recipe_Name,Ingredients,Label,Category,Recipe Steps,Nutrition Facts
Tandoori Chicken,"salami, capsicum, spinach",Non-Veg,"lunch, side dish","1. Gather all ingredients: salami, capsicum, spinach. 2. Prepare the ingredients for tandoori chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Tandoori Chicken,"chicken, lentils, potato, cauliflower",Non-Veg,"main course, breakfast","1. Gather all ingredients: chicken, lentils, potato, cauliflower. 2. Prepare the ingredients for tandoori chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Rajma Chawal,"beans, spinach, paneer",Veg,"main course, lunch","1. Gather all ingredients: beans, spinach, paneer. 2. Prepare the ingredients for rajma chawal (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Dhokla,"carrot, cheese, potato",Veg,"brunch, supper","1. Gather all ingredients: carrot, cheese, potato. 2. Prepare the ingredients for dhokla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Egg Mayo Sandwich,"egg, mayonnaise, bread, onion, pepper",Non-Veg,"dinner, appetizer, snack","1. Gather all ingredients: egg, mayonnaise, bread, onion, pepper. 2. Prepare the ingredients for egg mayo sandwich (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Kachori,"beans, paneer, peas",Veg,"snack, breakfast","1. Gather all ingredients: beans, paneer, peas. 2. Prepare the ingredients for kachori (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Curry,"bacon, capsicum, peas",Non-Veg,"side dish, dinner","1. Gather all ingredients: bacon, capsicum, peas. 2. Prepare the ingredients for chicken curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Pasta,"chicken, pasta, capsicum, garlic, onion",Non-Veg,"breakfast, lunch, dinner","1. Gather all ingredients: chicken, pasta, capsicum, garlic, onion. 2. Prepare the ingredients for chicken pasta (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Kathi Roll,"beef, tomato, corn",Non-Veg,"brunch, snack","1. Gather all ingredients: beef, tomato, corn. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Idli Sambar,"tomato, capsicum, lentils, paneer",Veg,side dish,"1. Gather all ingredients: tomato, capsicum, lentils, paneer. 2. Prepare the ingredients for idli sambar (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Dhokla,"tomato, onion, rice, spinach, cheese",Veg,snack,"1. Gather all ingredients: tomato, onion, rice, spinach, cheese. 2. Prepare the ingredients for dhokla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Roti Sabzi,"tomato, broccoli, spinach, carrot",Veg,"lunch, appetizer, supper","1. Gather all ingredients: tomato, broccoli, spinach, carrot. 2. Prepare the ingredients for roti sabzi (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Palak Paneer,"paneer, spinach, rice",Veg,"appetizer, dinner","1. Gather all ingredients: paneer, spinach, rice. 2. Prepare the ingredients for palak paneer (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Idli Sambar,"carrot, rice, corn, peas, tomato",Veg,lunch,"1. Gather all ingredients: carrot, rice, corn, peas, tomato. 2. Prepare the ingredients for idli sambar (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Mutton Rogan Josh,"chicken, cheese, onion, carrot",Non-Veg,"breakfast, main course","1. Gather all ingredients: chicken, cheese, onion, carrot. 2. Prepare the ingredients for mutton rogan josh (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Korma,"fish, mutton, rice, peas",Non-Veg,"lunch, main course, appetizer","1. Gather all ingredients: fish, mutton, rice, peas. 2. Prepare the ingredients for chicken korma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Rajma Chawal,"broccoli, paneer, mushroom",Veg,"appetizer, breakfast","1. Gather all ingredients: broccoli, paneer, mushroom. 2. Prepare the ingredients for rajma chawal (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Fish Fry,"fish, chicken, spinach, beans",Non-Veg,lunch,"1. Gather all ingredients: fish, chicken, spinach, beans. 2. Prepare the ingredients for fish fry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
