Recipe_Name,Ingredients,Label
Scrambled Eggs Variant 1,"butter, eggs, pepper, salt",Non-Veg
Tomato Pasta Variant 1,"garlic, olive oil, pasta, salt, tomato",Veg
Vegetable Stir Fry Variant 1,"bell pepper, broccoli, carrot, garlic, honey, milk, soy sauce",Veg
Chicken Curry Variant 1,"chicken, garlic, oil, onion, spices, tomato",Non-Veg
Pancakes Variant 1,"baking powder, egg, flour, lemon, milk, sugar, yogurt",Veg
Grilled Cheese Sandwich Variant 1,"bread, butter, cheese",Veg
Omelette Variant 1,"beef, eggs, grapes, onion, pepper, salt, tomato",Non-Veg
Fruit Salad Variant 1,"apple, banana, grapes, honey, orange",Veg
Garlic Bread Variant 1,"bread, butter, garlic, parsley",Veg
Mashed Potatoes Variant 1,"butter, milk, pepper, potato, salt",Veg
Beef Steak Variant 1,"beef, butter, garlic, grapes, olive oil, pepper, salt",Non-Veg
Caesar Salad Variant 1,"caesar dressing, chicken, croutons, lettuce, parmesan",Non-Veg
Veggie Burger Variant 1,"bread, cheese, lettuce, patty, tomato",Veg
Fish Fry Variant 1,"fish, lemon, oil, pepper, salt",Non-Veg
Chocolate Cake Variant 1,"butter, cocoa powder, egg, flour, sugar",Veg
Dal Tadka Variant 1,"garlic, lentils, onion, spices, tomato",Veg
Chicken Biryani Variant 1,"cheese, chicken, onion, rice, spices, yogurt",Non-Veg
Veg Fried Rice Variant 1,"carrot, egg, oil, peas, rice, soy sauce",Veg
Mango Smoothie Variant 1,"ice, lemon, mango, milk, sugar",Veg
Butter Naan Variant 1,"butter, flour, lemon, salt, yeast",Veg
Scrambled Eggs Variant 2,"broccoli, butter, caesar dressing, eggs, pepper, salt",Non-Veg
Tomato Pasta Variant 2,"garlic, olive oil, pasta, peas, salt, tomato",Veg
Vegetable Stir Fry Variant 2,"bell pepper, broccoli, carrot, garlic, soy sauce",Veg
Chicken Curry Variant 2,"bell pepper, chicken, garlic, onion, spices, tomato",Non-Veg
Pancakes Variant 2,"baking powder, egg, flour, milk, sugar",Veg
Grilled Cheese Sandwich Variant 2,"bread, butter, cheese, yeast",Veg
Omelette Variant 2,"eggs, onion, pepper, salt, tomato, yogurt",Non-Veg
Fruit Salad Variant 2,"apple, banana, grapes, honey, orange",Veg
Garlic Bread Variant 2,"bread, butter, garlic, parsley",Veg
Mashed Potatoes Variant 2,"butter, grapes, milk, pepper, potato, salt",Veg
Beef Steak Variant 2,"beef, butter, garlic, pepper, salt",Non-Veg
Caesar Salad Variant 2,"caesar dressing, chicken, croutons, lettuce, parmesan",Non-Veg
Veggie Burger Variant 2,"bread, cheese, lentils, lettuce, patty, tomato",Veg
Fish Fry Variant 2,"fish, honey, lemon, oil, pepper, salt",Non-Veg
Chocolate Cake Variant 2,"butter, cocoa powder, egg, flour, mango, sugar",Veg
Dal Tadka Variant 2,"beef, garlic, lentils, onion, spices, tomato",Veg
Chicken Biryani Variant 2,"chicken, onion, parmesan, rice, spices, yogurt",Non-Veg
Veg Fried Rice Variant 2,"butter, carrot, egg, peas, rice, soy sauce",Veg
Mango Smoothie Variant 2,"ice, mango, milk, peas, sugar",Veg
Butter Naan Variant 2,"butter, croutons, flour, salt, yeast",Veg
Scrambled Eggs Variant 3,"butter, eggs, lettuce, parmesan, pepper, salt",Non-Veg
Tomato Pasta Variant 3,"garlic, olive oil, pasta, salt, tomato",Veg
Vegetable Stir Fry Variant 3,"bell pepper, broccoli, carrot, garlic, soy sauce",Veg
Chicken Curry Variant 3,"bell pepper, chicken, garlic, onion, spices, tomato",Non-Veg
Pancakes Variant 3,"baking powder, croutons, egg, flour, milk, sugar",Veg
Grilled Cheese Sandwich Variant 3,"bread, butter, cheese, milk",Veg
Omelette Variant 3,"eggs, onion, pepper, salt, tomato",Non-Veg
Fruit Salad Variant 3,"apple, banana, cheese, grapes, honey, olive oil, orange",Veg
Garlic Bread Variant 3,"apple, bread, butter, garlic, lentils, parsley",Veg
Mashed Potatoes Variant 3,"butter, lentils, milk, pepper, potato, salt",Veg
Beef Steak Variant 3,"beef, butter, garlic, mango, pepper, salt",Non-Veg
Caesar Salad Variant 3,"caesar dressing, chicken, croutons, lettuce, parmesan",Non-Veg
Veggie Burger Variant 3,"bread, cheese, flour, lettuce, patty, tomato",Veg
Fish Fry Variant 3,"fish, lemon, oil, pepper, salt",Non-Veg
Chocolate Cake Variant 3,"butter, cocoa powder, egg, flour, sugar",Veg
Dal Tadka Variant 3,"baking powder, garlic, lentils, onion, spices, tomato",Veg
Chicken Biryani Variant 3,"chicken, onion, rice, spices, yogurt",Non-Veg
Veg Fried Rice Variant 3,"carrot, egg, olive oil, peas, rice, soy sauce",Veg
Mango Smoothie Variant 3,"ice, mango, milk, sugar",Veg
Butter Naan Variant 3,"butter, flour, lettuce, salt, yeast",Veg
Scrambled Eggs Variant 4,"butter, eggs, peas, pepper, salt, soy sauce",Non-Veg
Tomato Pasta Variant 4,"garlic, olive oil, parmesan, pasta, salt, tomato",Veg
Vegetable Stir Fry Variant 4,"bell pepper, broccoli, caesar dressing, carrot, garlic, soy sauce",Veg
Chicken Curry Variant 4,"chicken, garlic, honey, onion, spices, tomato",Non-Veg
Pancakes Variant 4,"apple, baking powder, egg, flour, milk, oil, sugar",Veg
Grilled Cheese Sandwich Variant 4,"apple, bread, butter, cheese",Veg
Omelette Variant 4,"eggs, garlic, honey, onion, pepper, salt, tomato",Non-Veg
Fruit Salad Variant 4,"apple, banana, grapes, honey, orange",Veg
Garlic Bread Variant 4,"bread, butter, carrot, garlic, parsley",Veg
Mashed Potatoes Variant 4,"butter, lentils, milk, pepper, potato, salt",Veg
Beef Steak Variant 4,"beef, butter, garlic, pepper, salt",Non-Veg
Caesar Salad Variant 4,"caesar dressing, chicken, croutons, fish, lettuce, parmesan",Non-Veg
Veggie Burger Variant 4,"baking powder, bread, cheese, lettuce, orange, patty, tomato",Veg
Fish Fry Variant 4,"fish, grapes, lemon, mango, oil, pepper, salt",Non-Veg
Chocolate Cake Variant 4,"butter, cocoa powder, egg, flour, mango, sugar",Veg
Dal Tadka Variant 4,"garlic, lentils, onion, spices, tomato",Veg
Chicken Biryani Variant 4,"chicken, onion, peas, rice, spices, yogurt",Non-Veg
