Recipe_Name,Ingredients,Label
Grilled Veggie Wrap,"bread, mustard seeds, pepper, poha, salt, tomato",Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Upma,"capsicum, curd, eggs, lemon juice, rajma, salt, yogurt",Non-Veg
Egg Curry,"eggs, garlic, ginger, oil, onion, spices, tomato",Non-Veg
Chicken Noodles,"curd, mustard seeds, oil, onion, rice, soy sauce, yogurt",Non-Veg
Chicken Curry,"chicken, garlic, ginger, oil, onion, salt, spices, tomato",Non-Veg
Chicken Soup,"bread, chicken, eggs, mushroom, oil, paneer, rajma",Non-Veg
Chicken Cutlet,"egg, green chili, oil, pepper, poha",Non-Veg
Poha,"curry leaves, green chili, lemon juice, mustard seeds, onion, poha, salt",Veg
Dal Tadka,"chicken, chole, egg, ginger, lemon juice, mustard seeds, oil, poha",Non-Veg
Fish Curry,"garlic, lemon juice, mayonnaise, oil, palak, paneer, poha, rajma",Non-Veg
Mutton Rogan Josh,"eggs, green chili, mushroom, onion, yogurt",Non-Veg
Vegetable Pasta,"capsicum, oil, onion, pasta, pepper, salt, tomato",Veg
Aloo Paratha,"bread, egg, green chili, palak, rice, salt, soy sauce",Non-Veg
Chicken Soup,"capsicum, garlic, lemon juice, pasta, pepper, rajma, rice, yogurt",Non-Veg
Tomato Soup,"butter, garlic, onion, pepper, salt, tomato",Veg
Aloo Paratha,"capsicum, lemon juice, mayonnaise, onion, soy sauce, spices",Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Egg Fried Rice,"eggs, oil, pepper, rice, salt, soy sauce, spring onion",Non-Veg
Veg Biryani,"bread, butter, chole, green chili, onion, paneer",Veg
Butter Chicken,"chole, curd, mushroom, pasta, rice, salt, soy sauce, tomato",Non-Veg
Keema Pav,"chicken, green chili, lemon juice, mushroom, oil, palak, poha",Non-Veg
Chicken Noodles,"bread, butter, mayonnaise, paneer, pasta, spices",Non-Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Mutton Rogan Josh,"capsicum, egg, ginger, green chili, mushroom, rajma",Non-Veg
Chicken Cutlet,"chicken, chole, eggs, oil, salt, soy sauce, yogurt",Non-Veg
Palak Paneer,"garlic, onion, palak, paneer, salt, spices",Veg
Chicken Biryani,"biryani masala, chicken, onion, rice, spices, yogurt",Non-Veg
Grilled Veggie Wrap,"curd, egg, lemon juice, onion, rajma, soy sauce, yogurt",Non-Veg
