dish_name,ingredients,diet,category
Zesty Salad,"chicken, potato",non-veg,"snack, breakfast"
Sweet Stew,"cucumber, carrot, spinach, flour",veg,"breakfast, beverage, main course"
Tangy Curry,"spinach, butter, paneer, lettuce, cucumber",veg,"beverage, snack"
Zesty Curry,"cucumber, carrot, paneer",veg,"breakfast, dessert"
Sweet Pasta,"fish, flour, spinach, onion",non-veg,"dessert, beverage, snack"
Crispy Sandwich,"beef, egg, rice",non-veg,"main course, snack, dessert"
Zesty Soup,"carrot, onion, paneer",veg,beverage
Creamy Burger,"fish, paneer, tomato",non-veg,snack
Crispy Burger,"beef, chicken, tomato, banana",non-veg,breakfast
Smoky Soup,"chicken, lettuce",non-veg,"breakfast, dessert"
Creamy Pasta,"flour, carrot, rice",veg,breakfast
Crispy Rice,"banana, spinach, tomato, onion, carrot",veg,snack
Crispy Sandwich,"egg, fish, banana, lettuce",non-veg,snack
Zesty Pasta,"lettuce, banana, flour, rice, tomato",veg,"main course, beverage, dessert"
Crispy Burger,"onion, rice, banana, paneer, lettuce",veg,"breakfast, dessert, beverage"
Zesty Curry,"pork, rice",non-veg,"main course, breakfast, beverage"
Tangy Soup,"mutton, fish, onion",non-veg,"main course, breakfast, dessert"
Smoky Pasta,"mutton, egg, butter, potato",non-veg,main course
Smoky Curry,"onion, carrot",veg,dessert
Spicy Burger,"potato, lettuce",veg,"main course, breakfast, dessert"
Smoky Salad,"egg, potato",non-veg,"beverage, snack, breakfast"
Smoky Stew,"tomato, paneer",veg,"dessert, main course"
Tangy Sandwich,"paneer, lettuce, rice, spinach, flour",veg,"main course, breakfast, dessert"
Smoky Burger,"fish, beef, potato, flour, banana",non-veg,"main course, beverage, dessert"
Smoky Soup,"butter, tomato, carrot",veg,dessert
Tangy Curry,"onion, potato, tomato, lettuce, rice",veg,"breakfast, snack"
Smoky Soup,"rice, carrot, tomato",veg,dessert
Smoky Sandwich,"spinach, cucumber",veg,dessert
Sweet Curry,"banana, carrot, flour, paneer, lettuce",veg,"snack, breakfast, dessert"
Savory Rice,"chicken, egg, rice",non-veg,beverage
Creamy Sandwich,"flour, banana",veg,"breakfast, snack"
Creamy Burger,"fish, lettuce",non-veg,"dessert, main course"
Spicy Soup,"chicken, onion, butter, carrot",non-veg,"main course, beverage"
Spicy Soup,"rice, tomato, butter, onion, carrot",veg,"breakfast, dessert, beverage"
Creamy Curry,"mutton, spinach, onion, carrot",non-veg,"breakfast, dessert, main course"
Savory Pasta,"chicken, potato, rice, paneer",non-veg,breakfast
Tangy Salad,"fish, lettuce, onion",non-veg,main course
Smoky Rice,"beef, cucumber",non-veg,breakfast
Smoky Pasta,"pork, fish, spinach, lettuce, potato",non-veg,breakfast
Crispy Burger,"pork, mutton, spinach, tomato",non-veg,"breakfast, beverage"
Crispy Curry,"carrot, onion, flour",veg,dessert
Spicy Pasta,"cucumber, paneer, flour",veg,dessert
Spicy Rice,"beef, pork, carrot, butter, rice",non-veg,"dessert, main course"
Zesty Salad,"fish, pork, cucumber",non-veg,breakfast
Zesty Stew,"paneer, rice, carrot, onion",veg,main course
Zesty Salad,"lettuce, banana",veg,snack
Sweet Sandwich,"lettuce, spinach",veg,beverage
Zesty Soup,"fish, carrot, spinach",non-veg,main course
Smoky Curry,"cucumber, carrot, rice, potato",veg,"dessert, main course"
Savory Salad,"egg, lettuce, butter, rice",non-veg,breakfast
